,#,PlayerName,Position,Age,Market Value,Departed from,Departed league,Joined,Country,Transfer Fee
162,174,Adrian Grbic,Centre-Forward,22,£540k,SCR Altach,Austria,Clermont Foot,Ligue 2,Free Transfer
163,175,Filip Kurto,Goalkeeper,27,£540k,Wellington P.,A-League,Western United,A-League,Free Transfer
164,176,Hamdan Al-Shammari,Left-Back,22,£495k,Faisaly,Saudi Arabia,Ittihad,Saudi Arabia,?
165,177,Mouhssine Moutouali,Right Winger,33,£495k,Al Ahli,Qatar,Raja Casablanca,Morocco,Free Transfer
166,178,Ernestas Setkus,Goalkeeper,33,£450k,Hapoel Haifa,Israel,B. Jerusalem,Israel,Free Transfer
167,179,Mo El Hankouri,Left Winger,21,£450k,Feyenoord,Netherlands,FC Groningen,Netherlands,Free Transfer
168,180,Pierre-Yves Ngawa,Right-Back,27,£450k,Perugia,Italy,Foggia,Italy,?
169,181,Mitchel Bakker,Left-Back,18,£450k,Ajax U21,Netherlands,Paris SG B,France,Free Transfer
170,182,Neftali Manzambi,Centre-Forward,22,£450k,FC Basel,Switzerland,Sporting Gijón,Spain,?
171,183,Marco Rüedi,Central Midfield,21,£450k,Luzern U21,Switzerland,FC Luzern,Switzerland,-
172,184,Jérôme Thiesson,Right-Back,31,£450k,Rapperswil-Jona,Switzerland,FC Aarau,Switzerland,Free Transfer
173,186,Craig Halkett,Centre-Back,23,£450k,Livingston FC,Scotland,Heart of Midl.,Scotland,Free Transfer
174,187,Milos Filipovic,Right Midfield,29,£450k,Zrinjski Mostar,Bosnia-Herzegovina,AE Larisa,Greece,Free Transfer
175,188,Benjamin Goller,Right Winger,20,£450k,FC Schalke 04,Germany,Werder Bremen,Germany,Free Transfer
176,190,Aziz,Centre-Forward,20,£450k,Vizela,Portugal,Vit. Guimarães,Portugal,£180k
177,191,Kyle McFadzean,Centre-Back,32,£450k,Burton Albion,England,Coventry,England,Free Transfer
178,192,Alhaji Kamara,Centre-Forward,25,£450k,Vendsyssel FF,Denmark,Randers FC,Denmark,Free Transfer
179,194,Jean-Marc Makusu,Centre-Forward,27,£135k,AS Vita Club,DR Congo,RS Berkane,Morocco,£405k
180,195,Razvan Oaida,Central Midfield,21,£405k,FC Botosani,Romania,FCSB,Romania,?
181,196,Abdullah Al-Shamekh,Left-Back,25,£405k,Al-Raed,Saudi Arabia,Shabab,Saudi Arabia,Free Transfer
182,197,Nils Butzen,Right-Back,26,£405k,1.FC Magdeburg,Germany,Hansa Rostock,Germany,Free Transfer
183,198,Tunahan Cicek,Centre-Forward,27,£405k,NE Xamax,Switzerland,FC Vaduz,Liechtenstein,Free Transfer
184,199,Gianluca Frontino,Attacking Midfield,29,£383k,FC Aarau,Switzerland,FC Diessenhofen,Switzerland,Free Transfer
185,200,Oliver Hüsing,Centre-Back,26,£383k,Hansa Rostock,Germany,1.FC Heidenheim,Germany,Free Transfer
186,202,Niclas Stierlin,Defensive Midfield,19,£360k,RB Leipzig U19,Germany,RB Leipzig,Germany,-
187,203,Mohammed Majrashi,Second Striker,27,£360k,Ohod Al-Medina,Saudi Arabia,Faisaly,Saudi Arabia,?
188,204,Matthew Millar,Right-Back,22,£360k,Central Coast,A-League,Newcastle,A-League,Free Transfer
189,206,Mads Hvilsom,Centre-Forward,26,£360k,Esbjerg fB,Denmark,Hobro IK,Denmark,Free Transfer
190,209,Liam Polworth,Central Midfield,24,£360k,Inverness Cal.,Scotland,Motherwell FC,Scotland,Free Transfer
191,211,Daniel Georgievski,Right-Back,31,£360k,Newcastle,A-League,Western Sydney,A-League,Free Transfer
192,212,Saleh Chihadeh,Centre-Forward,24,£360k,SC Kriens,Switzerland,FC Thun,Switzerland,Free Transfer
193,213,Konrad Michalak,Right Winger,21,£360k,Lechia Gdansk,Ekstraklasa,Akhmat Grozny,Russia,?
194,214,Mark Reynolds,Centre-Back,32,£360k,Aberdeen FC,Scotland,Dundee United,Scotland,Free Transfer
195,215,Taxiarchis Fountas,Second Striker,23,£360k,SKN St. Pölten,Austria,Rapid Vienna,Austria,Free Transfer
196,216,Aboubakar Keita,Defensive Midfield,21,£360k,FC Copenhagen,Denmark,OH Leuven,Belgium,?
197,217,Andre de Jong,Second Striker,22,£360k,Eastern Sub.,New Zealand,AmaZulu FC,South Africa,Free Transfer
198,218,Evripidis Giakos,Attacking Midfield,28,£360k,PAS Giannina,Greece,AE Larisa,Greece,Free Transfer
199,219,Ben Vahaba,Centre-Back,27,£360k,Hapoel Raanana,Israel,Hapoel Haifa,Israel,Free Transfer
200,220,Brendan Hamill,Centre-Back,26,£360k,Western Sydney,A-League,Western United,A-League,Free Transfer
201,222,Joey van den Berg,Defensive Midfield,33,£315k,Reading,England,NEC Nijmegen,Netherlands,Free Transfer
202,223,Mathias Nielsen,Centre-Back,28,£315k,AC Horsens,Denmark,Randers FC,Denmark,Free Transfer
203,224,Jari Schuurman,Attacking Midfield,22,£315k,Feyenoord U21,Netherlands,FC Dordrecht,Netherlands,Free Transfer
204,225,Connor Pain,Left Winger,25,£315k,Central Coast,A-League,Western United,A-League,Free Transfer
