,Rank,Team,League,Expenditures,Arrivals,Incomes,Departures,Net Balance,Year
112,109,SC Freiburg,Bundesliga,£15.48m,19,£20.41m,22,"5,48 Mill. £",2018
113,110,Al-Wahda Mekka,Professional League,£15.48m,22,£950k,24,"-16,15 Mill. £",2018
114,111,1. FC Köln,2.Bundesliga,£14.31m,18,£42.12m,15,"30,90 Mill. £",2018
115,112,Al-Hilal Riyadh,Professional League,£14.20m,18,£3.99m,19,"-11,35 Mill. £",2018
116,113,RC Strasbourg Alsace,Ligue 1,£14.18m,17,£12.60m,15,"-1,75 Mill. £",2018
117,114,KAA Gent,Jupiler Pro League,£14.16m,39,£37.62m,27,"26,07 Mill. £",2018
118,115,Stade Reims,Ligue 1,£13.95m,20,£9.90m,17,"-4,50 Mill. £",2018
119,116,FC Nantes,Ligue 1,£13.59m,22,£19.80m,25,"6,90 Mill. £",2018
120,117,Atlanta United FC,MLS,£13.46m,19,£21.96m,11,"9,45 Mill. £",2018
121,118,Deportivo Guadalajara,Liga MX Clausura,£13.43m,29,£27.05m,20,"15,14 Mill. £",2018
122,119,Celtic FC,Premiership,£13.08m,21,£27.98m,21,"16,56 Mill. £",2018
123,120,Beijing Sinobo Guoan,Super League,£12.95m,13,£3.47m,13,"-10,54 Mill. £",2018
124,121,Benevento Calcio,Serie B,£12.33m,44,£8.37m,44,"-4,40 Mill. £",2018
125,122,FC Basel 1893,Super League,£11.93m,30,£25.68m,22,"15,28 Mill. £",2018
126,123,CF Pachuca,Liga MX Clausura,£11.90m,38,£5.40m,43,"-7,23 Mill. £",2018
127,124,Red Bull Salzburg,Bundesliga,£11.61m,42,£51.75m,26,"44,60 Mill. £",2018
128,125,Derby County,Championship,£11.59m,25,£13.01m,23,"1,57 Mill. £",2018
130,126,West Bromwich Albion,Championship,£11.42m,20,£23.94m,21,"13,91 Mill. £",2018
131,127,CSKA Moscow,Premier Liga,£11.04m,25,£37.80m,18,"29,73 Mill. £",2018
