,Rank,Team,League,Expenditures,Arrivals,Incomes,Departures,Net Balance,Year
281,21,Sevilla FC,LaLiga,£67.55m,19,£73.80m,20,"6,95 Mill. £",2017.0
282,22,VfL Wolfsburg,Bundesliga,£66.38m,26,£32.40m,23,"-37,75 Mill. £",2017.0
283,23,ACF Fiorentina,Serie A,£66.33m,62,£78.57m,51,"13,60 Mill. £",2017.0
284,24,Swansea City,Premier League,£66.05m,24,£72.99m,25,"7,72 Mill. £",2017.0
285,25,Watford FC,Premier League,£64.26m,36,£15.07m,30,"-54,66 Mill. £",2017.0
287,26,LOSC Lille,Ligue 1,£61.65m,36,£27.99m,31,"-37,40 Mill. £",2017.0
288,27,SSC Napoli,Serie A,£58.28m,51,£7.65m,34,"-56,25 Mill. £",2017.0
289,28,Brighton & Hove Albion,Premier League,£57.15m,23,-,21,"-63,50 Mill. £",2017.0
290,29,RB Leipzig,Bundesliga,£56.48m,25,£22.09m,14,"-38,21 Mill. £",2017.0
291,30,Olympique Marseille,Ligue 1,£55.80m,22,£2.48m,22,"-59,25 Mill. £",2017.0
292,31,Olympique Lyon,Ligue 1,£55.35m,28,£107.60m,22,"58,05 Mill. £",2017.0
293,32,Southampton FC,Premier League,£55.13m,13,£88.52m,14,"37,10 Mill. £",2017.0
294,33,Stoke City,Premier League,£51.93m,19,£31.63m,18,"-22,56 Mill. £",2017.0
295,34,West Ham United,Premier League,£51.12m,18,£62.12m,23,"12,22 Mill. £",2017.0
296,35,Huddersfield Town,Premier League,£51.08m,24,£5.27m,20,"-50,90 Mill. £",2017.0
297,36,UC Sampdoria,Serie A,£50.76m,63,£60.50m,46,"10,82 Mill. £",2017.0
298,37,Bayer 04 Leverkusen,Bundesliga,£50.40m,14,£80.91m,18,"33,90 Mill. £",2017.0
299,38,Middlesbrough FC,Championship,£50.09m,29,£48.42m,29,"-1,85 Mill. £",2017.0
300,39,Valencia CF,LaLiga,£49.50m,29,£14.90m,28,"-38,45 Mill. £",2017.0
301,40,Stade Rennais FC,Ligue 1,£48.51m,26,£14.22m,23,"-38,10 Mill. £",2017.0
302,41,West Bromwich Albion,Premier League,£48.15m,13,£1.85m,10,"-51,45 Mill. £",2017.0
303,42,Atalanta BC,Serie A,£46.71m,130,£78.78m,87,"35,64 Mill. £",2017.0
304,43,FC Schalke 04,Bundesliga,£44.37m,24,£6.39m,25,"-42,20 Mill. £",2017.0
305,44,Crystal Palace,Premier League,£44.06m,16,£2.70m,20,"-45,95 Mill. £",2017.0
306,45,Sporting CP,Liga NOS,£43.11m,53,£47.68m,36,"5,08 Mill. £",2017.0
307,46,Villarreal CF,LaLiga,£41.49m,20,£60.57m,19,"21,20 Mill. £",2017.0
308,47,Newcastle United,Premier League,£39.87m,30,£17.57m,30,"-24,78 Mill. £",2017.0
309,48,Galatasaray SK,Süper Lig,£39.20m,25,£32.37m,25,"-7,59 Mill. £",2017.0
310,49,Real Madrid,LaLiga,£36.45m,12,£115.65m,10,"88,00 Mill. £",2017.0
311,50,1. FC Köln,Bundesliga,£36.00m,10,£6.71m,5,"-32,55 Mill. £",2017.0
313,51,Real Betis Balompié,LaLiga,£34.65m,26,£24.36m,25,"-11,43 Mill. £",2017.0
314,52,Borussia Mönchengladbach,Bundesliga,£33.53m,15,£27.97m,15,"-6,17 Mill. £",2017.0
315,53,Burnley FC,Premier League,£32.17m,17,£45.00m,18,"14,26 Mill. £",2017.0
316,54,AFC Bournemouth,Premier League,£30.87m,19,-,16,"-34,30 Mill. £",2017.0
317,55,FC Girondins Bordeaux,Ligue 1,£29.34m,30,£23.63m,25,"-6,35 Mill. £",2017.0
318,56,Club Atlético River Plate,Primera División,£29.30m,20,£37.51m,14,"9,13 Mill. £",2017.0
319,57,Athletic Bilbao,LaLiga,£28.80m,12,£58.50m,9,"33,00 Mill. £",2017.0
320,58,US Sassuolo,Serie A,£28.44m,55,£18.00m,35,"-11,60 Mill. £",2017.0
321,59,VfB Stuttgart,Bundesliga,£27.81m,23,£6.84m,20,"-23,30 Mill. £",2017.0
322,60,Ajax Amsterdam,Eredivisie,£25.79m,17,£73.08m,11,"52,55 Mill. £",2017.0
323,61,Leeds United,Championship,£25.59m,33,£15.75m,27,"-10,93 Mill. £",2017.0
324,62,SS Lazio,Serie A,£25.43m,43,£65.43m,24,"44,45 Mill. £",2017.0
325,63,Feyenoord Rotterdam,Eredivisie,£24.12m,23,£29.97m,19,"6,50 Mill. £",2017.0
326,64,OGC Nice,Ligue 1,£23.67m,20,£24.75m,21,"1,20 Mill. £",2017.0
327,65,Celta de Vigo,LaLiga,£23.22m,22,£11.88m,21,"-12,60 Mill. £",2017.0
328,66,PSV Eindhoven,Eredivisie,£22.86m,18,£39.47m,15,"18,45 Mill. £",2017.0
329,67,FC Porto,Liga NOS,£22.40m,50,£63.18m,35,"45,31 Mill. £",2017.0
330,68,Wolverhampton Wanderers,Championship,£22.15m,37,£5.69m,39,"-18,29 Mill. £",2017.0
331,69,Torino FC,Serie A,£21.72m,70,£69.12m,43,"52,67 Mill. £",2017.0
332,70,Benevento Calcio,Serie A,£20.77m,45,£3.58m,49,"-19,10 Mill. £",2017.0
333,71,Racing Club,Primera División,£20.41m,32,£22.65m,29,"2,49 Mill. £",2017.0
334,72,Cagliari Calcio,Serie A,£19.89m,46,£16.90m,35,"-3,33 Mill. £",2017.0
335,73,Spartak Moscow,Premier Liga,£19.62m,10,-,9,"-21,80 Mill. £",2017.0
336,74,Dalian Yifang,Super League,£19.41m,10,£1.50m,10,"-19,90 Mill. £",2017.0
337,75,Real Sociedad,LaLiga,£19.35m,18,£47.70m,14,"31,50 Mill. £",2017.0
339,76,Olympiacos Piraeus,Super League,£19.26m,71,£20.75m,52,"1,65 Mill. £",2017.0
340,77,CF Monterrey,Liga MX Clausura,£18.54m,30,£5.58m,26,"-14,41 Mill. £",2017.0
341,78,Udinese Calcio,Serie A,£18.36m,55,£14.40m,38,"-4,40 Mill. £",2017.0
342,79,SC Freiburg,Bundesliga,£18.23m,23,£25.02m,16,"7,55 Mill. £",2017.0
343,80,RSC Anderlecht,Jupiler Pro League,£17.96m,41,£49.91m,41,"35,50 Mill. £",2017.0
344,81,Hull City,Championship,£17.86m,24,£40.65m,29,"25,33 Mill. £",2017.0
345,82,Fenerbahce SK,Süper Lig,£17.71m,20,£15.62m,18,"-2,32 Mill. £",2017.0
346,83,Fulham FC,Championship,£17.61m,19,£16.38m,28,"-1,37 Mill. £",2017.0
347,84,AS Saint-Étienne,Ligue 1,£17.37m,24,£14.85m,24,"-2,80 Mill. £",2017.0
348,85,Hamburger SV,Bundesliga,£17.10m,18,£5.00m,16,"-13,45 Mill. £",2017.0
349,86,Hannover 96,Bundesliga,£17.10m,19,£225k,15,"-18,75 Mill. £",2017.0
350,87,Eintracht Frankfurt,Bundesliga,£16.83m,18,£4.42m,16,"-13,79 Mill. £",2017.0
351,88,KAA Gent,Jupiler Pro League,£16.56m,31,£9.95m,32,"-7,35 Mill. £",2017.0
352,89,Birmingham City,Championship,£15.89m,31,£4.23m,29,"-12,95 Mill. £",2017.0
353,90,SV Werder Bremen,Bundesliga,£15.75m,23,£8.01m,20,"-8,60 Mill. £",2017.0
354,91,Genoa CFC,Serie A,£15.71m,84,£42.03m,57,"29,25 Mill. £",2017.0
355,92,São Paulo Futebol Clube,Série A,£15.67m,48,£47.22m,47,"35,06 Mill. £",2017.0
356,93,Inter Milan Primavera,Primavera 1,£15.21m,45,£3.60m,34,"-12,90 Mill. £",2017.0
357,94,CD Cruz Azul,Liga MX Clausura,£15.08m,23,£4.95m,21,"-11,25 Mill. £",2017.0
358,95,1.FSV Mainz 05,Bundesliga,£14.90m,21,£22.37m,19,"8,30 Mill. £",2017.0
359,96,Club Brugge KV,Jupiler Pro League,£14.69m,39,£26.46m,29,"13,08 Mill. £",2017.0
360,97,Trabzonspor,Süper Lig,£14.49m,43,£2.97m,30,"-12,80 Mill. £",2017.0
361,98,AC Sparta Praha,Fortuna Liga,£14.40m,44,£8.55m,37,"-6,50 Mill. £",2017.0
362,99,Sheffield Wednesday,Championship,£13.68m,14,-,15,"-15,20 Mill. £",2017.0
363,100,Norwich City,Championship,£13.60m,29,£30.27m,33,"18,52 Mill. £",2017.0
365,101,Jiangsu Suning,Super League,£13.50m,19,£148k,16,"-14,84 Mill. £",2017.0
366,102,FK Krasnodar,Premier Liga,£13.50m,17,£2.25m,14,"-12,50 Mill. £",2017.0
367,103,CF América,Liga MX Clausura,£13.39m,38,£5.04m,28,"-9,28 Mill. £",2017.0
368,104,TSG 1899 Hoffenheim,Bundesliga,£13.23m,28,£41.18m,21,"31,05 Mill. £",2017.0
369,105,Reading FC,Championship,£12.69m,22,£1.86m,26,"-12,04 Mill. £",2017.0
370,106,Al-Hilal Riyadh,Professional League,£12.60m,22,-,18,"-14,00 Mill. £",2017.0
371,107,Hertha BSC,Bundesliga,£12.60m,13,£16.20m,10,"4,00 Mill. £",2017.0
372,108,CF Pachuca,Liga MX Clausura,£12.42m,60,£12.49m,40,80 Th. £,2017.0
373,109,Tigres UANL,Liga MX Clausura,£12.42m,47,£7.83m,29,"-5,10 Mill. £",2017.0
374,110,Atlanta United FC,MLS,£12.33m,26,-,30,"-13,71 Mill. £",2017.0
375,111,Tianjin Quanjian,Super League,£12.12m,13,-,14,"-13,47 Mill. £",2017.0
376,112,Bristol City,Championship,£12.09m,27,£2.97m,22,"-10,13 Mill. £",2017.0
377,113,Standard Liège,Jupiler Pro League,£11.75m,36,£10.26m,35,"-1,65 Mill. £",2017.0
378,114,Getafe CF,LaLiga,£11.61m,33,£1.44m,31,"-11,30 Mill. £",2017.0
379,115,Besiktas JK,Süper Lig,£11.48m,24,£30.42m,24,"21,05 Mill. £",2017.0
380,116,Nagoya Grampus,J1 League,£11.45m,23,-,25,"-12,73 Mill. £",2017.0
381,117,Cardiff City,Championship,£11.40m,31,£2.39m,27,"-10,02 Mill. £",2017.0
382,118,Club Atlético Independiente,Primera División,£11.34m,28,£23.67m,16,"13,70 Mill. £",2017.0
383,119,SCO Angers,Ligue 1,£11.16m,24,£16.20m,23,"5,60 Mill. £",2017.0
384,120,Derby County,Championship,£11.04m,18,£19.15m,18,"9,01 Mill. £",2017.0
385,121,Chongqing Dangdai Lifan,Super League,£10.80m,14,£8.01m,12,"-3,10 Mill. £",2017.0
386,122,Cesena Primavera,Primavera 2a,£10.80m,52,£900k,45,"-11,00 Mill. £",2017.0
387,123,Celtic FC,Premiership,£10.64m,29,£1.37m,32,"-10,30 Mill. £",2017.0
388,124,Club Tijuana,Liga MX Clausura,£10.54m,37,£16.11m,39,"6,19 Mill. £",2017.0
389,125,Tianjin Teda,Super League,£10.26m,18,-,20,"-11,40 Mill. £",2017.0
391,126,FC Nantes,Ligue 1,£10.17m,20,£9.00m,15,"-1,30 Mill. £",2017.0
392,127,Deportivo Alavés,LaLiga,£10.14m,26,£6.75m,29,"-3,77 Mill. £",2017.0
393,128,Delfino Pescara 1936,Serie B,£10.04m,77,£10.51m,64,530 Th. £,2017.0
394,129,KRC Genk,Jupiler Pro League,£9.77m,18,£5.40m,16,"-4,85 Mill. £",2017.0
395,130,Club Atlético Boca Juniors,Primera División,£9.72m,26,£13.91m,19,"4,65 Mill. £",2017.0
396,131,Málaga CF,LaLiga,£9.45m,36,£30.96m,34,"23,90 Mill. £",2017.0
397,132,Rangers FC,Premiership,£9.40m,23,£3.16m,23,"-6,93 Mill. £",2017.0
398,133,Bologna FC 1909,Serie A,£9.27m,55,-,37,"-10,30 Mill. £",2017.0
399,134,FC Copenhagen,Superligaen Championship round,£9.09m,16,£14.30m,14,"5,79 Mill. £",2017.0
400,135,SL Benfica,Liga NOS,£8.96m,45,£123.48m,34,"127,25 Mill. £",2017.0
401,136,Junior FC,Liga Águila II,£8.57m,26,£2.25m,23,"-7,03 Mill. £",2017.0
402,137,Deportivo de La Coruña,LaLiga,£8.55m,24,£4.95m,25,"-4,00 Mill. £",2017.0
403,138,Levante UD,LaLiga,£8.19m,28,£12.65m,26,"4,95 Mill. £",2017.0
404,139,Girona FC,LaLiga,£7.88m,22,-,26,"-8,75 Mill. £",2017.0
405,140,SPAL 2013,Serie A,£7.64m,47,£742k,39,"-7,66 Mill. £",2017.0
406,141,Sociedade Esportiva Palmeiras,Série A,£7.62m,45,£17.82m,45,"11,33 Mill. £",2017.0
407,142,Los Angeles FC,MLS,£7.57m,34,-,9,"-8,41 Mill. £",2017.0
408,143,Al-Ahli Jeddah,Professional League,£7.33m,18,-,18,"-8,14 Mill. £",2017.0
409,144,Hebei China Fortune,Super League,£7.25m,22,-,21,"-8,05 Mill. £",2017.0
410,145,Cruzeiro Esporte Clube,Série A,£7.12m,42,£1.82m,38,"-5,89 Mill. £",2017.0
411,146,Vitória Guimarães SC,Liga NOS,£7.11m,26,£10.65m,24,"3,94 Mill. £",2017.0
412,147,SV Zulte Waregem,Jupiler Pro League,£7.07m,30,£11.70m,31,"5,15 Mill. £",2017.0
413,148,Antalyaspor,Süper Lig,£6.81m,25,£225k,18,"-7,31 Mill. £",2017.0
414,149,FC Augsburg,Bundesliga,£6.80m,20,£6.84m,18,50 Th. £,2017.0
415,150,Dynamo Kyiv,Premier Liga,£6.75m,27,£36.90m,17,"33,50 Mill. £",2017.0
417,151,FCSB,Liga 1,£6.69m,40,£3.59m,32,"-3,45 Mill. £",2017.0
418,152,FC Empoli,Serie B,£6.65m,60,£16.70m,49,"11,16 Mill. £",2017.0
419,153,PAOK Thessaloniki,Super League,£6.57m,68,£2.25m,47,"-4,80 Mill. £",2017.0
420,154,Everton FC U23,Premier League 2,£6.39m,19,£990k,23,"-6,00 Mill. £",2017.0
421,155,FC Basel 1893,Super League,£6.38m,27,£22.82m,23,"18,27 Mill. £",2017.0
422,156,SM Caen,Ligue 1,£6.26m,23,£5.40m,18,-950 Th. £,2017.0
423,157,SD Eibar,LaLiga,£6.26m,30,£9.00m,24,"3,05 Mill. £",2017.0
424,158,Konyaspor,Süper Lig,£6.17m,47,£7.78m,32,"1,78 Mill. £",2017.0
425,159,Guizhou Hengfeng,Super League,£6.12m,17,-,17,"-6,80 Mill. £",2017.0
426,160,KV Oostende,Jupiler Pro League,£6.08m,19,£20.30m,17,"15,80 Mill. £",2017.0
427,161,Nottingham Forest,Championship,£5.99m,34,£15.39m,32,"10,45 Mill. £",2017.0
428,162,SC Amiens,Ligue 1,£5.97m,24,£7.20m,19,"1,37 Mill. £",2017.0
429,163,Henan Jianye,Super League,£5.76m,14,-,14,"-6,40 Mill. £",2017.0
430,164,Barnsley FC,Championship,£5.75m,36,£4.32m,35,"-1,59 Mill. £",2017.0
431,165,Ascoli Picchio,Serie B,£5.72m,35,-,30,"-6,35 Mill. £",2017.0
432,166,Atlético Nacional,Liga Águila II,£5.69m,36,£10.98m,38,"5,88 Mill. £",2017.0
433,167,CD Leganés,LaLiga,£5.49m,22,£117k,31,"-5,97 Mill. £",2017.0
434,168,Brentford FC,Championship,£5.49m,16,£13.65m,12,"9,07 Mill. £",2017.0
435,169,Zamalek SC,Premier League,£5.47m,40,£2.14m,30,"-3,70 Mill. £",2017.0
436,170,BSC Young Boys,Super League,£5.42m,22,£20.16m,20,"16,38 Mill. £",2017.0
437,171,FC Barcelona B,LaLiga2,£5.41m,45,£3.24m,43,"-2,41 Mill. £",2017.0
438,172,Al-Nassr FC,Professional League,£5.38m,19,-,22,"-5,98 Mill. £",2017.0
439,173,Club Atlético Rosario Central,Primera División,£5.30m,25,£4.56m,23,-824 Th. £,2017.0
440,174,SC Braga,Liga NOS,£5.22m,38,£28.91m,37,"26,33 Mill. £",2017.0
441,175,Shenzhen FC,League One,£5.18m,18,£59k,17,"-5,69 Mill. £",2017.0
443,176,Inter Youth,Italy,£5.18m,53,-,55,"-5,75 Mill. £",2017.0
444,177,AZ Alkmaar,Eredivisie,£5.13m,17,£10.80m,15,"6,30 Mill. £",2017.0
445,178,HSC Montpellier,Ligue 1,£5.13m,15,£18.72m,19,"15,10 Mill. £",2017.0
446,179,Sheffield United,Championship,£5.08m,25,-,20,"-5,64 Mill. £",2017.0
447,180,Ajax Amsterdam U19,U19 Eredivisie,£4.95m,18,-,18,"-5,50 Mill. £",2017.0
448,181,New York Red Bulls,MLS,£4.95m,40,-,35,"-5,50 Mill. £",2017.0
449,182,SK Slavia Prag,Fortuna Liga,£4.92m,37,£8.22m,29,"3,66 Mill. £",2017.0
450,183,El Ahly Cairo,Premier League,£4.91m,24,£7.20m,19,"2,55 Mill. £",2017.0
451,184,Dinamo Moscow,Premier Liga,£4.80m,18,-,19,"-5,34 Mill. £",2017.0
452,185,Red Star Belgrade,SuperLiga,£4.77m,45,£12.65m,41,"8,75 Mill. £",2017.0
453,186,Malmö FF,Allsvenskan,£4.77m,17,£1.70m,17,"-3,42 Mill. £",2017.0
454,187,UNAM Pumas,Liga MX Clausura,£4.73m,23,£1.53m,17,"-3,55 Mill. £",2017.0
455,188,Wuhan Zall,League One,£4.50m,12,-,9,"-5,00 Mill. £",2017.0
456,189,Alanyaspor,Süper Lig,£4.50m,31,£3.42m,23,"-1,20 Mill. £",2017.0
457,190,Club Atlético San Lorenzo de Almagro,Primera División,£4.48m,24,£4.28m,20,-215 Th. £,2017.0
458,191,FC Ingolstadt 04,2.Bundesliga,£4.41m,22,£13.32m,16,"9,90 Mill. £",2017.0
459,192,FC Lorient,Ligue 2,£4.32m,24,£9.54m,26,"5,80 Mill. £",2017.0
460,193,SC Heerenveen,Eredivisie,£4.19m,21,£12.78m,24,"9,55 Mill. £",2017.0
461,194,FC Sion,Super League,£4.15m,27,£8.55m,21,"4,89 Mill. £",2017.0
462,195,Clube de Regatas do Flamengo,Série A,£4.14m,32,£5.96m,30,"2,02 Mill. £",2017.0
463,196,FK Rostov,Premier Liga,£4.10m,33,£10.80m,28,"7,45 Mill. £",2017.0
464,197,FC Porto B,Ledman Liga Pro,£4.05m,52,£1.53m,48,"-2,80 Mill. £",2017.0
465,198,Beijing Renhe,Super League,£4.05m,13,£2.97m,12,"-1,20 Mill. £",2017.0
466,199,Vitesse Arnhem,Eredivisie,£4.01m,15,£18.99m,19,"16,65 Mill. £",2017.0
467,200,Bursaspor,Süper Lig,£3.99m,35,-,25,"-4,44 Mill. £",2017.0
469,201,RCD Espanyol Barcelona,LaLiga,£3.92m,20,£6.93m,20,"3,35 Mill. £",2017.0
470,202,Los Angeles Galaxy,MLS,£3.87m,30,£180k,22,"-4,10 Mill. £",2017.0
471,203,Lokomotiv Moscow,Premier Liga,£3.83m,13,£630k,14,"-3,55 Mill. £",2017.0
472,204,Rosenborg BK,Eliteserien,£3.78m,15,£1.98m,13,"-2,00 Mill. £",2017.0
473,205,Manchester City U18,U18 Premier League,£3.78m,13,£7.05m,18,"3,64 Mill. £",2017.0
474,206,US Palermo,Serie B,£3.74m,51,£11.79m,37,"8,95 Mill. £",2017.0
475,207,Al-Feiha FC,Professional League,£3.74m,31,-,20,"-4,15 Mill. £",2017.0
476,208,Bröndby IF,Superligaen Championship round,£3.72m,18,£833k,18,"-3,21 Mill. £",2017.0
477,209,Port FC,Thai League,£3.71m,22,£239k,29,"-3,86 Mill. £",2017.0
478,210,SG Dynamo Dresden,2.Bundesliga,£3.68m,17,£2.70m,20,"-1,09 Mill. £",2017.0
479,211,Sport Club Corinthians Paulista,Série A,£3.65m,35,£22.50m,31,"20,95 Mill. £",2017.0
480,212,Ajax Amsterdam U21,Keuken Kampioen Divisie,£3.60m,21,£450k,17,"-3,50 Mill. £",2017.0
481,213,Houston Dynamo,MLS,£3.56m,28,£1.35m,21,"-2,46 Mill. £",2017.0
482,214,RC Strasbourg Alsace,Ligue 1,£3.51m,16,£1.80m,18,"-1,90 Mill. £",2017.0
483,215,Parma Calcio 1913,Serie B,£3.49m,43,-,37,"-3,88 Mill. £",2017.0
484,216,Hapoel Beer Sheva,Ligat ha'Al,£3.48m,33,£225k,19,"-3,62 Mill. £",2017.0
485,217,KV Mechelen,Jupiler Pro League,£3.47m,32,£4.59m,26,"1,25 Mill. £",2017.0
486,218,Akhmat Grozny,Premier Liga,£3.42m,14,£3.60m,11,200 Th. £,2017.0
487,219,Sharjah Cultural Sports Club,UAE Gulf League,£3.38m,19,-,17,"-3,75 Mill. £",2017.0
488,220,Istanbul Basaksehir,Süper Lig,£3.33m,28,£14.45m,23,"12,35 Mill. £",2017.0
489,221,Al-Ain FC,UAE Gulf League,£3.33m,5,-,18,"-3,70 Mill. £",2017.0
490,222,Vejle Boldklub,NordicBet LIGA,£3.33m,28,£4.68m,28,"1,50 Mill. £",2017.0
491,223,PFK Ludogorets Razgrad,A Grupa - Championship gr.,£3.29m,15,£11.07m,10,"8,65 Mill. £",2017.0
492,224,CA Osasuna,LaLiga2,£3.29m,19,£10.13m,24,"7,60 Mill. £",2017.0
493,225,Columbus Crew SC,MLS,£3.27m,19,£815k,17,"-2,73 Mill. £",2017.0
495,226,Ipswich Town,Championship,£3.18m,21,£765k,22,"-2,68 Mill. £",2017.0
496,227,FC Toulouse,Ligue 1,£3.15m,12,£11.70m,18,"9,50 Mill. £",2017.0
497,228,FCO Dijon,Ligue 1,£3.15m,16,£13.50m,16,"11,50 Mill. £",2017.0
498,229,Brighton & Hove Albion U23,Premier League 2,£3.15m,28,-,16,"-3,50 Mill. £",2017.0
499,230,Club Estudiantes de La Plata,Primera División,£3.14m,33,£18.45m,25,"17,02 Mill. £",2017.0
500,231,Querétaro FC,Liga MX Clausura,£3.03m,26,£153k,23,"-3,20 Mill. £",2017.0
501,232,Juventus Primavera,Primavera 1,£3.02m,79,£5.58m,63,"2,85 Mill. £",2017.0
502,233,RSC Charleroi,Jupiler Pro League,£3.00m,16,£7.88m,12,"5,42 Mill. £",2017.0
503,234,Brescia Calcio,Serie B,£2.90m,50,£3.54m,46,710 Th. £,2017.0
504,235,RC Lens,Ligue 2,£2.84m,23,£3.49m,24,725 Th. £,2017.0
505,236,AC Cesena,Serie B,£2.80m,58,£3.65m,53,940 Th. £,2017.0
506,237,Club Atlético Colón,Primera División,£2.79m,20,-,25,"-3,10 Mill. £",2017.0
507,238,Real Madrid U19,Spain,£2.79m,21,-,21,"-3,10 Mill. £",2017.0
508,239,Rapid Vienna,Bundesliga,£2.79m,24,£8.17m,22,"5,98 Mill. £",2017.0
509,240,Slovan Bratislava,Fort. Liga - Champ. G.,£2.75m,28,£1.54m,22,"-1,34 Mill. £",2017.0
510,241,Hellas Verona,Serie A,£2.75m,53,£7.34m,43,"5,10 Mill. £",2017.0
511,242,Club Universidad de Chile,Primera División,£2.66m,36,£3.38m,32,790 Th. £,2017.0
512,243,FK Partizan Belgrade,SuperLiga,£2.66m,38,£12.60m,31,"11,04 Mill. £",2017.0
513,244,D.C. United,MLS,£2.66m,22,£198k,22,"-2,73 Mill. £",2017.0
514,245,Club Necaxa,Liga MX Clausura,£2.47m,29,£5.58m,32,"3,46 Mill. £",2017.0
515,246,FC Midtjylland,Superligaen Championship round,£2.07m,33,£15.26m,28,"14,65 Mill. £",2017.0
516,247,Atlas Guadalajara,Liga MX Clausura,£1.73m,35,-,27,"-1,93 Mill. £",2017.0
517,248,Aalborg BK,Superligaen Championship round,£1.34m,15,£1.17m,15,-190 Th. £,2017.0
518,249,Club Atlético Boston River,Primera División,£1.26m,34,-,32,"-1,40 Mill. £",2017.0
519,250,CA Peñarol,Primera División,£929k,48,£8.36m,43,"8,26 Mill. £",2017.0
521,1,Juventus FC,Serie A,£235.35m,69,£98.10m,48,"-152,50 Mill. £",2018.0
522,2,Paris Saint-Germain,Ligue 1,£195.30m,25,£101.70m,18,"-104,00 Mill. £",2018.0
523,3,Chelsea FC,Premier League,£189.00m,38,£55.58m,30,"-148,25 Mill. £",2018.0
524,4,AC Milan,Serie A,£166.95m,35,£78.57m,29,"-98,20 Mill. £",2018.0
525,5,Liverpool FC,Premier League,£163.98m,13,£34.65m,15,"-143,70 Mill. £",2018.0
526,6,Real Madrid,LaLiga,£146.48m,23,£120.15m,13,"-29,25 Mill. £",2018.0
527,7,AS Monaco,Ligue 1,£124.38m,49,£286.88m,33,"180,55 Mill. £",2018.0
528,8,Atlético Madrid,LaLiga,£119.70m,25,£58.41m,17,"-68,10 Mill. £",2018.0
529,9,AS Roma,Serie A,£117.99m,65,£134.43m,45,"18,27 Mill. £",2018.0
530,10,FC Barcelona,LaLiga,£116.19m,20,£120.65m,17,"4,95 Mill. £",2018.0
531,11,Valencia CF,LaLiga,£114.30m,26,£52.92m,21,"-68,20 Mill. £",2018.0
532,12,Leicester City,Premier League,£103.14m,21,£86.22m,19,"-18,80 Mill. £",2018.0
533,13,Wolverhampton Wanderers,Premier League,£101.03m,42,£20.75m,47,"-89,20 Mill. £",2018.0
534,14,Fulham FC,Premier League,£100.80m,21,£4.05m,16,"-107,50 Mill. £",2018.0
535,15,West Ham United,Premier League,£94.82m,21,£12.60m,15,"-91,35 Mill. £",2018.0
536,16,Everton FC,Premier League,£89.82m,27,£25.56m,25,"-71,40 Mill. £",2018.0
537,17,Villarreal CF,LaLiga,£83.61m,34,£52.65m,24,"-34,40 Mill. £",2018.0
538,18,Guangzhou Evergrande Taobao,Super League,£82.67m,24,£6.05m,23,"-85,14 Mill. £",2018.0
539,19,Borussia Dortmund,Bundesliga,£81.45m,21,£102.51m,19,"23,40 Mill. £",2018.0
540,20,AFC Bournemouth,Premier League,£80.19m,17,£18.18m,17,"-68,90 Mill. £",2018.0
541,21,Inter Milan,Serie A,£78.84m,75,£79.47m,59,700 Th. £,2018.0
542,22,Brighton & Hove Albion,Premier League,£77.63m,30,£12.06m,26,"-72,86 Mill. £",2018.0
543,23,Manchester United,Premier League,£74.43m,10,£31.82m,10,"-47,35 Mill. £",2018.0
544,24,Arsenal FC,Premier League,£73.35m,17,£5.76m,13,"-75,10 Mill. £",2018.0
545,25,Sevilla FC,LaLiga,£71.33m,20,£81.86m,23,"11,70 Mill. £",2018.0
547,26,Manchester City,Premier League,£69.38m,27,£48.69m,21,"-22,99 Mill. £",2018.0
548,27,SSC Napoli,Serie A,£63.90m,58,£100.80m,39,"41,00 Mill. £",2018.0
549,28,Olympique Marseille,Ligue 1,£59.40m,15,£28.67m,11,"-34,15 Mill. £",2018.0
550,29,RB Leipzig,Bundesliga,£59.07m,19,£65.48m,18,"7,12 Mill. £",2018.0
551,30,Stoke City,Championship,£56.61m,24,£27.14m,23,"-32,75 Mill. £",2018.0
552,31,Southampton FC,Premier League,£56.03m,21,£21.51m,19,"-38,35 Mill. £",2018.0
553,32,FC Schalke 04,Bundesliga,£55.53m,20,£41.09m,16,"-16,05 Mill. £",2018.0
554,33,Newcastle United,Premier League,£53.78m,22,£39.13m,23,"-16,27 Mill. £",2018.0
555,34,ACF Fiorentina,Serie A,£50.22m,61,£41.81m,47,"-9,35 Mill. £",2018.0
556,35,Genoa CFC,Serie A,£49.18m,102,£67.86m,79,"20,76 Mill. £",2018.0
557,36,UC Sampdoria,Serie A,£47.57m,74,£52.26m,49,"5,22 Mill. £",2018.0
558,37,Pyramids FC,Premier League,£47.00m,35,£9.92m,35,"-41,20 Mill. £",2018.0
559,38,Cardiff City,Premier League,£46.08m,17,-,18,"-51,20 Mill. £",2018.0
560,39,Huddersfield Town,Premier League,£45.63m,17,£11.10m,19,"-38,37 Mill. £",2018.0
561,40,Ajax Amsterdam,Eredivisie,£45.59m,14,£15.80m,14,"-33,10 Mill. £",2018.0
562,41,Atalanta BC,Serie A,£45.27m,132,£16.11m,81,"-32,40 Mill. £",2018.0
563,42,Al-Ittihad Jeddah,Professional League,£45.09m,28,-,27,"-50,10 Mill. £",2018.0
564,43,Al Duhail Sports Club,Stars League,£44.10m,14,-,20,"-49,00 Mill. £",2018.0
