,Rank,Team,League,Expenditures,Arrivals,Incomes,Departures,Net Balance,Year
65,63,Torino FC,Serie A,£25.92m,70,£23.65m,53,"-2,53 Mill. £",2016.0
66,64,Olympique Lyon,Ligue 1,£25.74m,17,£24.57m,13,"-1,30 Mill. £",2016.0
67,65,AC Milan,Serie A,£25.20m,53,£18.41m,34,"-7,55 Mill. £",2016.0
68,66,Tianjin Teda,Super League,£25.00m,20,£617k,19,"-27,09 Mill. £",2016.0
69,67,Shenzhen FC,League One,£24.51m,16,-,14,"-27,23 Mill. £",2016.0
70,68,Sociedade Esportiva Palmeiras,Série A,£24.30m,63,£31.34m,64,"7,82 Mill. £",2016.0
71,69,Norwich City,Championship,£23.81m,16,£33.03m,17,"10,25 Mill. £",2016.0
72,70,Deportivo Guadalajara,Liga MX Clausura,£23.49m,32,-,28,"-26,10 Mill. £",2016.0
73,71,Genoa CFC,Serie A,£23.40m,81,£45.27m,60,"24,30 Mill. £",2016.0
74,72,Fulham FC,Championship,£23.00m,31,£21.40m,34,"-1,77 Mill. £",2016.0
75,73,Spartak Moscow,Premier Liga,£22.82m,15,£2.70m,12,"-22,35 Mill. £",2016.0
76,74,TSG 1899 Hoffenheim,Bundesliga,£21.99m,30,£33.30m,26,"12,56 Mill. £",2016.0
77,75,Tigres UANL,Liga MX Clausura,£21.47m,46,£9.36m,34,"-13,46 Mill. £",2016.0
79,76,SV Werder Bremen,Bundesliga,£21.33m,24,£24.48m,21,"3,50 Mill. £",2016.0
80,77,Zenit St. Petersburg,Premier Liga,£20.61m,17,£94.05m,9,"81,60 Mill. £",2016.0
81,78,Galatasaray SK,Süper Lig,£20.25m,34,£9.00m,27,"-12,51 Mill. £",2016.0
82,79,FC Augsburg,Bundesliga,£19.98m,18,£13.55m,18,"-7,15 Mill. £",2016.0
83,80,US Sassuolo,Serie A,£19.62m,38,£26.82m,26,"8,00 Mill. £",2016.0
84,81,Real Betis Balompié,LaLiga,£18.81m,25,£7.20m,26,"-12,90 Mill. £",2016.0
85,82,LOSC Lille,Ligue 1,£18.63m,27,£42.30m,31,"26,30 Mill. £",2016.0
86,83,Guangzhou Evergrande Taobao,Super League,£18.05m,21,£3.70m,18,"-15,94 Mill. £",2016.0
87,84,VfB Stuttgart,2.Bundesliga,£17.69m,23,£40.82m,24,"25,70 Mill. £",2016.0
88,85,Udinese Calcio,Serie A,£17.10m,77,£27.19m,65,"11,22 Mill. £",2016.0
89,86,RCD Espanyol Barcelona,LaLiga,£16.56m,27,£5.40m,26,"-12,40 Mill. £",2016.0
90,87,Real Sociedad,LaLiga,£16.20m,18,£9.90m,12,"-7,00 Mill. £",2016.0
91,88,São Paulo Futebol Clube,Série A,£16.17m,37,£30.77m,35,"16,23 Mill. £",2016.0
92,89,CF América,Liga MX Clausura,£15.77m,30,£5.76m,20,"-11,12 Mill. £",2016.0
93,90,CD Cruz Azul,Liga MX Clausura,£15.75m,34,-,25,"-17,50 Mill. £",2016.0
94,91,Derby County,Championship,£15.54m,16,£14.63m,20,"-1,01 Mill. £",2016.0
95,92,KAA Gent,Jupiler Pro League,£15.38m,45,£22.10m,29,"7,46 Mill. £",2016.0
96,93,Atlanta United FC,MLS,£15.04m,40,-,17,"-16,72 Mill. £",2016.0
97,94,Sport Club Internacional,Série B,£14.48m,58,£7.70m,52,"-7,54 Mill. £",2016.0
98,95,Henan Jianye,Super League,£14.32m,24,£8.39m,17,"-6,59 Mill. £",2016.0
99,96,Club Atlético River Plate,Primera División,£14.20m,20,£20.79m,17,"7,33 Mill. £",2016.0
100,97,ACF Fiorentina,Serie A,£14.07m,63,£27.90m,51,"15,37 Mill. £",2016.0
101,98,Trabzonspor,Süper Lig,£14.00m,53,£5.28m,45,"-9,69 Mill. £",2016.0
102,99,OGC Nice,Ligue 1,£13.73m,25,£14.22m,22,550 Th. £,2016.0
103,100,Besiktas JK,Süper Lig,£13.59m,28,£12.65m,26,"-1,04 Mill. £",2016.0
105,101,FC Basel 1893,Super League,£13.55m,21,£25.81m,16,"13,63 Mill. £",2016.0
106,102,Club Atlético Boca Juniors,Primera División,£13.28m,29,£21.95m,27,"9,64 Mill. £",2016.0
107,103,Delfino Pescara 1936,Serie A,£12.86m,93,£19.44m,72,"7,31 Mill. £",2016.0
108,104,KRC Genk,Jupiler Pro League,£12.60m,28,£38.25m,23,"28,50 Mill. £",2016.0
109,105,Olympiacos Piraeus,Super League,£12.02m,68,£47.93m,54,"39,90 Mill. £",2016.0
110,106,FC Toulouse,Ligue 1,£11.70m,23,£9.00m,18,"-3,00 Mill. £",2016.0
111,107,Queens Park Rangers,Championship,£11.58m,28,£15.19m,35,"4,01 Mill. £",2016.0
112,108,Standard Liège,Jupiler Pro League,£11.36m,41,£10.26m,32,"-1,23 Mill. £",2016.0
113,109,Bristol City,Championship,£11.34m,27,£12.71m,26,"1,52 Mill. £",2016.0
114,110,Málaga CF,LaLiga,£11.28m,24,-,20,"-12,54 Mill. £",2016.0
115,111,Liaoning FC,Super League,£10.80m,17,£18.58m,16,"8,65 Mill. £",2016.0
116,112,Club Brugge KV,Jupiler Pro League,£10.80m,28,£10.76m,28,-50 Th. £,2016.0
117,113,FK Krasnodar,Premier Liga,£10.80m,20,£15.21m,16,"4,90 Mill. £",2016.0
118,114,Clube de Regatas do Flamengo,Série A,£10.76m,45,£8.37m,43,"-2,66 Mill. £",2016.0
119,115,Granada CF,LaLiga,£10.42m,44,£28.44m,54,"20,03 Mill. £",2016.0
120,116,SC Freiburg,Bundesliga,£10.35m,22,£4.64m,21,"-6,35 Mill. £",2016.0
121,117,Atalanta BC,Serie A,£10.21m,115,£37.20m,78,"29,99 Mill. £",2016.0
122,118,Chievo Verona,Serie A,£9.92m,88,£5.56m,59,"-4,84 Mill. £",2016.0
123,119,Wuhan Zall,League One,£9.88m,14,-,15,"-10,98 Mill. £",2016.0
124,120,Sheffield Wednesday,Championship,£9.81m,25,-,20,"-10,90 Mill. £",2016.0
125,121,Birmingham City,Championship,£9.08m,30,£180k,31,"-9,89 Mill. £",2016.0
126,122,Guizhou Hengfeng,Super League,£9.01m,17,-,14,"-10,02 Mill. £",2016.0
127,123,Real Madrid Castilla,2ª B - Grupo II,£9.00m,34,-,25,"-10,00 Mill. £",2016.0
128,124,Istanbul Basaksehir,Süper Lig,£8.92m,25,£900k,13,"-8,91 Mill. £",2016.0
129,125,Cagliari Calcio,Serie A,£8.57m,58,£10.45m,40,"2,10 Mill. £",2016.0
131,126,Red Bull Salzburg,Bundesliga,£8.51m,28,£64.85m,23,"62,60 Mill. £",2016.0
132,127,Celtic FC,Premiership,£8.46m,28,£3.15m,25,"-5,90 Mill. £",2016.0
133,128,TSV 1860 Munich,2.Bundesliga,£8.42m,23,£2.30m,25,"-6,80 Mill. £",2016.0
134,129,Santos FC,Série A,£8.37m,26,£28.35m,23,"22,20 Mill. £",2016.0
135,130,Guangzhou R&F,Super League,£8.31m,27,£16.85m,23,"9,49 Mill. £",2016.0
136,131,FC Girondins Bordeaux,Ligue 1,£8.10m,18,£2.34m,17,"-6,40 Mill. £",2016.0
137,132,Reading FC,Championship,£8.04m,34,£5.31m,28,"-3,04 Mill. £",2016.0
138,133,FC Copenhagen,Superligaen,£7.92m,15,£5.40m,15,"-2,80 Mill. £",2016.0
139,134,Brighton & Hove Albion,Championship,£7.88m,20,-,22,"-8,75 Mill. £",2016.0
140,135,FC Lorient,Rel. Ligue 1,£7.74m,31,£28.94m,19,"23,55 Mill. £",2016.0
141,136,SD Eibar,LaLiga,£7.74m,32,£4.50m,25,"-3,60 Mill. £",2016.0
142,137,Leeds United,Championship,£7.72m,26,£6.82m,23,"-1,00 Mill. £",2016.0
143,138,US Palermo,Serie A,£7.63m,54,£26.33m,42,"20,78 Mill. £",2016.0
144,139,Celta de Vigo,LaLiga,£7.56m,17,£17.82m,9,"11,40 Mill. £",2016.0
145,140,1. FC Köln,Bundesliga,£7.52m,11,£17.10m,9,"10,65 Mill. £",2016.0
146,141,Fluminense Football Club,Série A,£7.29m,49,£14.94m,39,"8,50 Mill. £",2016.0
147,142,FC Ingolstadt 04,Bundesliga,£7.16m,14,£4.10m,11,"-3,40 Mill. £",2016.0
148,143,Cerezo Osaka,J1 League,£6.60m,19,-,16,"-7,33 Mill. £",2016.0
149,144,Cruzeiro Esporte Clube,Série A,£6.51m,55,£7.06m,55,605 Th. £,2016.0
150,145,Fenerbahce SK,Süper Lig,£6.39m,19,£7.65m,20,"1,40 Mill. £",2016.0
151,146,FC Empoli,Serie A,£6.30m,49,£13.50m,39,"8,00 Mill. £",2016.0
152,147,AS Saint-Étienne,Ligue 1,£6.30m,18,£2.03m,18,"-4,75 Mill. £",2016.0
153,148,Maccabi Tel Aviv,Ligat ha'Al,£6.23m,37,£7.05m,23,908 Th. £,2016.0
154,149,Club Deportivo Maldonado,Segunda División,£6.08m,45,£13.86m,42,"8,65 Mill. £",2016.0
155,150,Club Atlético Rosario Central,Primera División,£6.07m,18,£23.67m,22,"19,56 Mill. £",2016.0
157,151,Hertha BSC,Bundesliga,£6.03m,7,£4.50m,11,"-1,70 Mill. £",2016.0
158,152,Al-Hilal Riyadh,King's Cup,£6.03m,18,-,20,"-6,70 Mill. £",2016.0
159,153,Steaua Bukarest,Liga 1 - Championship group,£6.02m,43,£15.26m,35,"10,26 Mill. £",2016.0
160,154,El Ahly Cairo,Premier League,£5.99m,20,£13.01m,11,"7,79 Mill. £",2016.0
161,155,Lokomotiv Moscow,Premier Liga,£5.90m,16,£3.15m,13,"-3,05 Mill. £",2016.0
162,156,PAOK Thessaloniki,Super League,£5.90m,62,£8.55m,53,"2,95 Mill. £",2016.0
163,157,CF Monterrey,Liga MX Clausura,£5.85m,36,-,29,"-6,50 Mill. £",2016.0
164,158,Terek Grozny,Premier Liga,£5.85m,9,-,13,"-6,50 Mill. £",2016.0
165,159,Club Atlético Independiente,Primera División,£5.79m,23,£4.61m,21,"-1,31 Mill. £",2016.0
166,160,HSC Montpellier,Ligue 1,£5.76m,15,£14.76m,18,"10,00 Mill. £",2016.0
167,161,Racing Club,Primera División,£5.72m,28,£20.10m,29,"15,99 Mill. £",2016.0
168,162,Deportivo Alavés,LaLiga,£5.69m,19,-,25,"-6,33 Mill. £",2016.0
169,163,Deportivo de La Coruña,LaLiga,£5.67m,31,£18.00m,31,"13,70 Mill. £",2016.0
170,164,Santos Laguna,Liga MX Clausura,£5.60m,31,£1.94m,19,"-4,07 Mill. £",2016.0
171,165,Rapid Vienna,Bundesliga,£5.58m,16,£4.64m,13,"-1,05 Mill. £",2016.0
172,166,Hellas Verona,Serie B,£5.45m,52,£14.90m,45,"10,50 Mill. £",2016.0
173,167,KV Oostende,Jupiler Pro League,£5.40m,21,£3.60m,14,"-2,00 Mill. £",2016.0
174,168,Shijiazhuang Ever Bright,League One,£5.36m,18,£11.43m,17,"6,75 Mill. £",2016.0
175,169,Chongqing Dangdai Lifan,Super League,£5.36m,13,£1.36m,14,"-4,44 Mill. £",2016.0
176,170,AC Sparta Praha,Fortuna Liga,£5.36m,39,£18.68m,21,"14,80 Mill. £",2016.0
177,171,FC Crotone,Serie A,£5.31m,51,£6.98m,45,"1,85 Mill. £",2016.0
178,172,Club Tijuana,Liga MX Clausura,£5.26m,36,-,31,"-5,84 Mill. £",2016.0
179,173,FC Porto B,Ledman Liga Pro,£5.25m,66,-,48,"-5,83 Mill. £",2016.0
180,174,Al-Ittihad Jeddah,King's Cup,£5.18m,19,£900k,18,"-4,75 Mill. £",2016.0
181,175,GNK Dinamo Zagreb,1.HNL,£4.91m,41,£37.04m,33,"35,69 Mill. £",2016.0
183,176,Seattle Sounders FC,MLS,£4.91m,20,£42k,28,"-5,41 Mill. £",2016.0
184,177,PSV Eindhoven,Eredivisie,£4.73m,14,£14.90m,14,"11,30 Mill. £",2016.0
185,178,SCO Angers,Ligue 1,£4.68m,24,£3.96m,22,-800 Th. £,2016.0
186,179,Brentford FC,Championship,£4.64m,12,£12.96m,13,"9,25 Mill. £",2016.0
187,180,Clube Atlético Mineiro,Série A,£4.52m,33,£14.80m,33,"11,43 Mill. £",2016.0
188,181,FC Nantes,Ligue 1,£4.50m,14,£2.38m,14,"-2,36 Mill. £",2016.0
189,182,Sport Club Corinthians Paulista,Série A,£4.32m,37,£17.15m,35,"14,25 Mill. £",2016.0
190,183,Beijing Renhe,League One,£4.29m,19,£9.32m,17,"5,58 Mill. £",2016.0
191,184,SC Braga,Liga NOS,£4.24m,44,£32.64m,36,"31,56 Mill. £",2016.0
192,185,Portland Timbers,MLS,£4.19m,25,-,31,"-4,65 Mill. £",2016.0
193,186,Al-Ahli Jeddah,King's Cup,£4.05m,16,-,17,"-4,50 Mill. £",2016.0
194,187,Nottingham Forest,Championship,£4.01m,31,£16.74m,30,"14,14 Mill. £",2016.0
195,188,Al-Shabab Al-Arabi Club,UAE Gulf League,£4.01m,8,-,11,"-4,45 Mill. £",2016.0
196,189,Los Angeles Galaxy,MLS,£4.01m,15,£149k,23,"-4,29 Mill. £",2016.0
197,190,SK Slavia Prag,Fortuna Liga,£4.01m,37,£360k,28,"-4,05 Mill. £",2016.0
198,191,Huddersfield Town,Championship,£4.01m,23,£1.31m,22,"-3,00 Mill. £",2016.0
199,192,AZ Alkmaar,Eredivisie,£3.92m,14,£24.66m,12,"23,05 Mill. £",2016.0
200,193,Legia Warszawa,Ekstraklasa,£3.89m,28,£13.50m,23,"10,68 Mill. £",2016.0
201,194,Maccabi Haifa,Ligat ha'Al,£3.87m,37,£1.08m,33,"-3,10 Mill. £",2016.0
202,195,Cardiff City,Championship,£3.87m,30,£6.28m,30,"2,68 Mill. £",2016.0
203,196,SM Caen,Ligue 1,£3.83m,14,£9.90m,12,"6,75 Mill. £",2016.0
204,197,FC Pro Vercelli 1892,Serie B,£3.74m,41,£5.22m,44,"1,65 Mill. £",2016.0
205,198,Club Atlético Talleres,Primera División,£3.72m,23,-,27,"-4,13 Mill. £",2016.0
206,199,SV Darmstadt 98,Bundesliga,£3.69m,26,£4.68m,29,"1,10 Mill. £",2016.0
207,200,Sevilla Atlético,LaLiga2,£3.69m,17,-,9,"-4,10 Mill. £",2016.0
209,201,Club Atlético San Lorenzo de Almagro,Primera División,£3.65m,28,£18.08m,26,"16,04 Mill. £",2016.0
210,202,Club Universidad de Chile,Torneo Transición,£3.51m,39,£1.87m,30,"-1,83 Mill. £",2016.0
211,203,UNAM Pumas,Liga MX Clausura,£3.42m,24,£7.02m,24,"4,00 Mill. £",2016.0
212,204,Eintracht Frankfurt,Bundesliga,£3.42m,16,£10.85m,21,"8,25 Mill. £",2016.0
213,205,Al-Jazira (Abu Dhabi),UAE Gulf League,£3.42m,10,£10.80m,8,"8,20 Mill. £",2016.0
214,206,FK Rostov,Premier Liga,£3.33m,18,£4.50m,18,"1,30 Mill. £",2016.0
