,club,year,amount
814,AC Milan,2016,18.41
815,Tianjin Teda,2016,617.0
816,Shenzhen FC,2016,0.0
817,Sociedade Esportiva Palmeiras,2016,31.34
818,Norwich City,2016,33.03
819,Deportivo Guadalajara,2016,0.0
820,Genoa CFC,2016,45.27
821,Fulham FC,2016,21.4
822,Spartak Moscow,2016,2.7
823,TSG 1899 Hoffenheim,2016,33.3
824,Tigres UANL,2016,9.36
825,SV Werder Bremen,2016,24.48
826,Zenit St. Petersburg,2016,94.05
827,Galatasaray SK,2016,9.0
828,FC Augsburg,2016,13.55
829,US Sassuolo,2016,26.82
830,Real Betis Balompié,2016,7.2
831,LOSC Lille,2016,42.3
832,Guangzhou Evergrande Taobao,2016,3.7
833,VfB Stuttgart,2016,40.82
834,Udinese Calcio,2016,27.19
835,RCD Espanyol Barcelona,2016,5.4
836,Real Sociedad,2016,9.9
837,São Paulo Futebol Clube,2016,30.77
838,CF América,2016,5.76
839,CD Cruz Azul,2016,0.0
840,Derby County,2016,14.63
841,KAA Gent,2016,22.1
842,Atlanta United FC,2016,0.0
843,Sport Club Internacional,2016,7.7
844,Henan Jianye,2016,8.39
845,Club Atlético River Plate,2016,20.79
846,ACF Fiorentina,2016,27.9
847,Trabzonspor,2016,5.28
848,OGC Nice,2016,14.22
849,Besiktas JK,2016,12.65
850,FC Basel 1893,2016,25.81
851,Club Atlético Boca Juniors,2016,21.95
852,Delfino Pescara 1936,2016,19.44
853,KRC Genk,2016,38.25
854,Olympiacos Piraeus,2016,47.93
855,FC Toulouse,2016,9.0
856,Queens Park Rangers,2016,15.19
857,Standard Liège,2016,10.26
858,Bristol City,2016,12.71
859,Málaga CF,2016,0.0
860,Liaoning FC,2016,18.58
861,Club Brugge KV,2016,10.76
862,FK Krasnodar,2016,15.21
863,Clube de Regatas do Flamengo,2016,8.37
864,Granada CF,2016,28.44
865,SC Freiburg,2016,4.64
866,Atalanta BC,2016,37.2
867,Chievo Verona,2016,5.56
868,Wuhan Zall,2016,0.0
869,Sheffield Wednesday,2016,0.0
870,Birmingham City,2016,180.0
871,Guizhou Hengfeng,2016,0.0
872,Real Madrid Castilla,2016,0.0
873,Istanbul Basaksehir,2016,900.0
874,Cagliari Calcio,2016,10.45
875,Red Bull Salzburg,2016,64.85
876,Celtic FC,2016,3.15
877,TSV 1860 Munich,2016,2.3
878,Santos FC,2016,28.35
879,Guangzhou R&F,2016,16.85
880,FC Girondins Bordeaux,2016,2.34
881,Reading FC,2016,5.31
882,FC Copenhagen,2016,5.4
883,Brighton & Hove Albion,2016,0.0
884,FC Lorient,2016,28.94
885,SD Eibar,2016,4.5
886,Leeds United,2016,6.82
887,US Palermo,2016,26.33
888,Celta de Vigo,2016,17.82
889,1. FC Köln,2016,17.1
890,Fluminense Football Club,2016,14.94
891,FC Ingolstadt 04,2016,4.1
892,Cerezo Osaka,2016,0.0
893,Cruzeiro Esporte Clube,2016,7.06
894,Fenerbahce SK,2016,7.65
895,FC Empoli,2016,13.5
896,AS Saint-Étienne,2016,2.03
897,Maccabi Tel Aviv,2016,7.05
898,Club Deportivo Maldonado,2016,13.86
899,Club Atlético Rosario Central,2016,23.67
900,Hertha BSC,2016,4.5
901,Al-Hilal Riyadh,2016,0.0
902,Steaua Bukarest,2016,15.26
903,El Ahly Cairo,2016,13.01
904,Lokomotiv Moscow,2016,3.15
905,PAOK Thessaloniki,2016,8.55
906,CF Monterrey,2016,0.0
907,Terek Grozny,2016,0.0
908,Club Atlético Independiente,2016,4.61
909,HSC Montpellier,2016,14.76
910,Racing Club,2016,20.1
911,Deportivo Alavés,2016,0.0
912,Deportivo de La Coruña,2016,18.0
913,Santos Laguna,2016,1.94
914,Rapid Vienna,2016,4.64
915,Hellas Verona,2016,14.9
916,KV Oostende,2016,3.6
917,Shijiazhuang Ever Bright,2016,11.43
918,Chongqing Dangdai Lifan,2016,1.36
919,AC Sparta Praha,2016,18.68
920,FC Crotone,2016,6.98
921,Club Tijuana,2016,0.0
922,FC Porto B,2016,0.0
923,Al-Ittihad Jeddah,2016,900.0
924,GNK Dinamo Zagreb,2016,37.04
925,Seattle Sounders FC,2016,42.0
926,PSV Eindhoven,2016,14.9
927,SCO Angers,2016,3.96
928,Brentford FC,2016,12.96
929,Clube Atlético Mineiro,2016,14.8
930,FC Nantes,2016,2.38
931,Sport Club Corinthians Paulista,2016,17.15
932,Beijing Renhe,2016,9.32
933,SC Braga,2016,32.64
934,Portland Timbers,2016,0.0
935,Al-Ahli Jeddah,2016,0.0
936,Nottingham Forest,2016,16.74
937,Al-Shabab Al-Arabi Club,2016,0.0
938,Los Angeles Galaxy,2016,149.0
939,SK Slavia Prag,2016,360.0
940,Huddersfield Town,2016,1.31
941,AZ Alkmaar,2016,24.66
942,Legia Warszawa,2016,13.5
943,Maccabi Haifa,2016,1.08
944,Cardiff City,2016,6.28
945,SM Caen,2016,9.9
946,FC Pro Vercelli 1892,2016,5.22
947,Club Atlético Talleres,2016,0.0
948,SV Darmstadt 98,2016,4.68
949,Sevilla Atlético,2016,0.0
950,Club Atlético San Lorenzo de Almagro,2016,18.08
951,Club Universidad de Chile,2016,1.87
952,UNAM Pumas,2016,7.02
953,Eintracht Frankfurt,2016,10.85
954,Al-Jazira (Abu Dhabi),2016,10.8
955,FK Rostov,2016,4.5
956,Albirex Niigata,2016,0.0
957,1.FC Union Berlin,2016,4.05
958,Gaziantepspor,2016,0.0
959,Grasshopper Club Zurich,2016,8.1
960,CD Leganés,2016,180.0
961,Arsenal FC U23,2016,2.61
962,Zamalek SC,2016,4.5
963,Feyenoord Rotterdam,2016,2.34
964,Real Salt Lake City,2016,0.0
965,Chicago Fire,2016,0.0
966,Juventus Primavera,2016,810.0
967,Genclerbirligi Ankara,2016,4.73
968,Caykur Rizespor,2016,0.0
969,US Latina Calcio,2016,1.4
970,Baoding Yingli ETS,2016,0.0
971,FCO Dijon,2016,1.13
972,Levante UD,2016,4.2
973,West Ham United U23,2016,0.0
974,Al-Wahda FC Abu Dhabi,2016,0.0
975,Al-Ain FC,2016,0.0
976,Al-Nasr (Dubai),2016,0.0
977,Gamba Osaka,2016,1.35
978,Montreal Impact,2016,0.0
979,UD Las Palmas,2016,180.0
980,Sport Club do Recife,2016,860.0
981,Shanghai Shenxin,2016,124.0
982,Grêmio Foot-Ball Porto Alegrense,2016,17.65
983,Hannover 96,2016,12.6
984,Panathinaikos Athens,2016,522.0
985,Barnsley FC,2016,12.13
986,AS Monaco U19,2016,0.0
987,Dynamo Kyiv,2016,19.89
988,Hapoel Beer Sheva,2016,0.0
989,Eintracht Braunschweig,2016,3.6
990,Club Atlético Huracán,2016,6.48
991,Club Nacional,2016,483.0
992,El Tanque Sisley,2016,0.0
993,Atlas Guadalajara,2016,3.96
994,Atlético Nacional,2016,27.32
995,Huachipato FC,2016,3.1
996,Monarcas Morelia,2016,1.17
997,CA Peñarol,2016,7.65
998,CSD Colo Colo,2016,4.86
999,Deportivo Toluca,2016,1.98
1000,FC Barcelona,2017,209.25
1001,Manchester City,2017,82.22
1002,Paris Saint-Germain,2017,88.56
1003,Chelsea FC,2017,180.54
1004,Everton FC,2017,113.83
1005,Manchester United,2017,40.95
1006,AC Milan,2017,32.0
1007,Liverpool FC,2017,166.05
1008,Juventus FC,2017,131.31
1009,Arsenal FC,2017,140.58
1010,Inter Milan,2017,67.72
1011,AS Monaco,2017,220.05
1012,Tottenham Hotspur,2017,93.42
1013,Bayern Munich,2017,29.3
1014,Borussia Dortmund,2017,230.36
1015,Atlético Madrid,2017,75.15
1016,AS Roma,2017,139.28
1017,Zenit St. Petersburg,2017,14.15
1018,Leicester City,2017,43.11
1019,Beijing Sinobo Guoan,2017,5.94
1020,Sevilla FC,2017,73.8
1021,VfL Wolfsburg,2017,32.4
1022,ACF Fiorentina,2017,78.57
1023,Swansea City,2017,72.99
1024,Watford FC,2017,15.07
1025,LOSC Lille,2017,27.99
1026,SSC Napoli,2017,7.65
1027,Brighton & Hove Albion,2017,0.0
1028,RB Leipzig,2017,22.09
1029,Olympique Marseille,2017,2.48
1030,Olympique Lyon,2017,107.6
1031,Southampton FC,2017,88.52
1032,Stoke City,2017,31.63
1033,West Ham United,2017,62.12
1034,Huddersfield Town,2017,5.27
1035,UC Sampdoria,2017,60.5
1036,Bayer 04 Leverkusen,2017,80.91
1037,Middlesbrough FC,2017,48.42
1038,Valencia CF,2017,14.9
1039,Stade Rennais FC,2017,14.22
1040,West Bromwich Albion,2017,1.85
1041,Atalanta BC,2017,78.78
1042,FC Schalke 04,2017,6.39
1043,Crystal Palace,2017,2.7
1044,Sporting CP,2017,47.68
1045,Villarreal CF,2017,60.57
1046,Newcastle United,2017,17.57
1047,Galatasaray SK,2017,32.37
1048,Real Madrid,2017,115.65
1049,1. FC Köln,2017,6.71
1050,Real Betis Balompié,2017,24.36
1051,Borussia Mönchengladbach,2017,27.97
1052,Burnley FC,2017,45.0
1053,AFC Bournemouth,2017,0.0
1054,FC Girondins Bordeaux,2017,23.63
1055,Club Atlético River Plate,2017,37.51
1056,Athletic Bilbao,2017,58.5
1057,US Sassuolo,2017,18.0
1058,VfB Stuttgart,2017,6.84
1059,Ajax Amsterdam,2017,73.08
1060,Leeds United,2017,15.75
1061,SS Lazio,2017,65.43
1062,Feyenoord Rotterdam,2017,29.97
1063,OGC Nice,2017,24.75
1064,Celta de Vigo,2017,11.88
1065,PSV Eindhoven,2017,39.47
1066,FC Porto,2017,63.18
1067,Wolverhampton Wanderers,2017,5.69
1068,Torino FC,2017,69.12
1069,Benevento Calcio,2017,3.58
1070,Racing Club,2017,22.65
1071,Cagliari Calcio,2017,16.9
1072,Spartak Moscow,2017,0.0
1073,Dalian Yifang,2017,1.5
1074,Real Sociedad,2017,47.7
1075,Olympiacos Piraeus,2017,20.75
1076,CF Monterrey,2017,5.58
1077,Udinese Calcio,2017,14.4
1078,SC Freiburg,2017,25.02
1079,RSC Anderlecht,2017,49.91
1080,Hull City,2017,40.65
1081,Fenerbahce SK,2017,15.62
1082,Fulham FC,2017,16.38
1083,AS Saint-Étienne,2017,14.85
1084,Hamburger SV,2017,5.0
1085,Hannover 96,2017,225.0
1086,Eintracht Frankfurt,2017,4.42
1087,KAA Gent,2017,9.95
1088,Birmingham City,2017,4.23
1089,SV Werder Bremen,2017,8.01
1090,Genoa CFC,2017,42.03
1091,São Paulo Futebol Clube,2017,47.22
1092,Inter Milan Primavera,2017,3.6
1093,CD Cruz Azul,2017,4.95
1094,1.FSV Mainz 05,2017,22.37
1095,Club Brugge KV,2017,26.46
1096,Trabzonspor,2017,2.97
1097,AC Sparta Praha,2017,8.55
1098,Sheffield Wednesday,2017,0.0
1099,Norwich City,2017,30.27
1100,Jiangsu Suning,2017,148.0
1101,FK Krasnodar,2017,2.25
1102,CF América,2017,5.04
1103,TSG 1899 Hoffenheim,2017,41.18
1104,Reading FC,2017,1.86
1105,Al-Hilal Riyadh,2017,0.0
1106,Hertha BSC,2017,16.2
1107,CF Pachuca,2017,12.49
1108,Tigres UANL,2017,7.83
1109,Atlanta United FC,2017,0.0
1110,Tianjin Quanjian,2017,0.0
1111,Bristol City,2017,2.97
1112,Standard Liège,2017,10.26
1113,Getafe CF,2017,1.44
1114,Besiktas JK,2017,30.42
1115,Nagoya Grampus,2017,0.0
1116,Cardiff City,2017,2.39
1117,Club Atlético Independiente,2017,23.67
1118,SCO Angers,2017,16.2
1119,Derby County,2017,19.15
1120,Chongqing Dangdai Lifan,2017,8.01
1121,Cesena Primavera,2017,900.0
1122,Celtic FC,2017,1.37
1123,Club Tijuana,2017,16.11
1124,Tianjin Teda,2017,0.0
1125,FC Nantes,2017,9.0
1126,Deportivo Alavés,2017,6.75
1127,Delfino Pescara 1936,2017,10.51
1128,KRC Genk,2017,5.4
1129,Club Atlético Boca Juniors,2017,13.91
1130,Málaga CF,2017,30.96
1131,Rangers FC,2017,3.16
1132,Bologna FC 1909,2017,0.0
1133,FC Copenhagen,2017,14.3
1134,SL Benfica,2017,123.48
1135,Junior FC,2017,2.25
1136,Deportivo de La Coruña,2017,4.95
1137,Levante UD,2017,12.65
1138,Girona FC,2017,0.0
1139,SPAL 2013,2017,742.0
1140,Sociedade Esportiva Palmeiras,2017,17.82
1141,Los Angeles FC,2017,0.0
1142,Al-Ahli Jeddah,2017,0.0
1143,Hebei China Fortune,2017,0.0
1144,Cruzeiro Esporte Clube,2017,1.82
1145,Vitória Guimarães SC,2017,10.65
1146,SV Zulte Waregem,2017,11.7
1147,Antalyaspor,2017,225.0
1148,FC Augsburg,2017,6.84
1149,Dynamo Kyiv,2017,36.9
1150,FCSB,2017,3.59
1151,FC Empoli,2017,16.7
1152,PAOK Thessaloniki,2017,2.25
1153,Everton FC U23,2017,990.0
1154,FC Basel 1893,2017,22.82
1155,SM Caen,2017,5.4
1156,SD Eibar,2017,9.0
1157,Konyaspor,2017,7.78
1158,Guizhou Hengfeng,2017,0.0
1159,KV Oostende,2017,20.3
1160,Nottingham Forest,2017,15.39
1161,SC Amiens,2017,7.2
1162,Henan Jianye,2017,0.0
1163,Barnsley FC,2017,4.32
1164,Ascoli Picchio,2017,0.0
1165,Atlético Nacional,2017,10.98
1166,CD Leganés,2017,117.0
1167,Brentford FC,2017,13.65
1168,Zamalek SC,2017,2.14
1169,BSC Young Boys,2017,20.16
1170,FC Barcelona B,2017,3.24
1171,Al-Nassr FC,2017,0.0
1172,Club Atlético Rosario Central,2017,4.56
1173,SC Braga,2017,28.91
1174,Shenzhen FC,2017,59.0
1175,Inter Youth,2017,0.0
1176,AZ Alkmaar,2017,10.8
1177,HSC Montpellier,2017,18.72
1178,Sheffield United,2017,0.0
1179,Ajax Amsterdam U19,2017,0.0
1180,New York Red Bulls,2017,0.0
1181,SK Slavia Prag,2017,8.22
1182,El Ahly Cairo,2017,7.2
1183,Dinamo Moscow,2017,0.0
1184,Red Star Belgrade,2017,12.65
1185,Malmö FF,2017,1.7
1186,UNAM Pumas,2017,1.53
1187,Wuhan Zall,2017,0.0
1188,Alanyaspor,2017,3.42
1189,Club Atlético San Lorenzo de Almagro,2017,4.28
1190,FC Ingolstadt 04,2017,13.32
1191,FC Lorient,2017,9.54
1192,SC Heerenveen,2017,12.78
1193,FC Sion,2017,8.55
1194,Clube de Regatas do Flamengo,2017,5.96
1195,FK Rostov,2017,10.8
1196,FC Porto B,2017,1.53
1197,Beijing Renhe,2017,2.97
1198,Vitesse Arnhem,2017,18.99
1199,Bursaspor,2017,0.0
1200,RCD Espanyol Barcelona,2017,6.93
1201,Los Angeles Galaxy,2017,180.0
1202,Lokomotiv Moscow,2017,630.0
1203,Rosenborg BK,2017,1.98
1204,Manchester City U18,2017,7.05
1205,US Palermo,2017,11.79
1206,Al-Feiha FC,2017,0.0
1207,Bröndby IF,2017,833.0
1208,Port FC,2017,239.0
1209,SG Dynamo Dresden,2017,2.7
1210,Sport Club Corinthians Paulista,2017,22.5
1211,Ajax Amsterdam U21,2017,450.0
1212,Houston Dynamo,2017,1.35
1213,RC Strasbourg Alsace,2017,1.8
1214,Parma Calcio 1913,2017,0.0
1215,Hapoel Beer Sheva,2017,225.0
1216,KV Mechelen,2017,4.59
1217,Akhmat Grozny,2017,3.6
1218,Sharjah Cultural Sports Club,2017,0.0
1219,Istanbul Basaksehir,2017,14.45
1220,Al-Ain FC,2017,0.0
1221,Vejle Boldklub,2017,4.68
1222,PFK Ludogorets Razgrad,2017,11.07
1223,CA Osasuna,2017,10.13
1224,Columbus Crew SC,2017,815.0
1225,Ipswich Town,2017,765.0
1226,FC Toulouse,2017,11.7
1227,FCO Dijon,2017,13.5
1228,Brighton & Hove Albion U23,2017,0.0
1229,Club Estudiantes de La Plata,2017,18.45
1230,Querétaro FC,2017,153.0
1231,Juventus Primavera,2017,5.58
1232,RSC Charleroi,2017,7.88
1233,Brescia Calcio,2017,3.54
1234,RC Lens,2017,3.49
1235,AC Cesena,2017,3.65
1236,Club Atlético Colón,2017,0.0
1237,Real Madrid U19,2017,0.0
1238,Rapid Vienna,2017,8.17
1239,Slovan Bratislava,2017,1.54
1240,Hellas Verona,2017,7.34
1241,Club Universidad de Chile,2017,3.38
1242,FK Partizan Belgrade,2017,12.6
1243,D.C. United,2017,198.0
1244,Club Necaxa,2017,5.58
1245,FC Midtjylland,2017,15.26
1246,Atlas Guadalajara,2017,0.0
1247,Aalborg BK,2017,1.17
1248,Club Atlético Boston River,2017,0.0
1249,CA Peñarol,2017,8.36
1250,Juventus FC,2018,98.1
1251,Paris Saint-Germain,2018,101.7
1252,Chelsea FC,2018,55.58
1253,AC Milan,2018,78.57
1254,Liverpool FC,2018,34.65
1255,Real Madrid,2018,120.15
1256,AS Monaco,2018,286.88
1257,Atlético Madrid,2018,58.41
1258,AS Roma,2018,134.43
1259,FC Barcelona,2018,120.65
1260,Valencia CF,2018,52.92
1261,Leicester City,2018,86.22
1262,Wolverhampton Wanderers,2018,20.75
1263,Fulham FC,2018,4.05
1264,West Ham United,2018,12.6
1265,Everton FC,2018,25.56
1266,Villarreal CF,2018,52.65
1267,Guangzhou Evergrande Taobao,2018,6.05
1268,Borussia Dortmund,2018,102.51
1269,AFC Bournemouth,2018,18.18
1270,Inter Milan,2018,79.47
1271,Brighton & Hove Albion,2018,12.06
1272,Manchester United,2018,31.82
1273,Arsenal FC,2018,5.76
1274,Sevilla FC,2018,81.86
1275,Manchester City,2018,48.69
1276,SSC Napoli,2018,100.8
1277,Olympique Marseille,2018,28.67
1278,RB Leipzig,2018,65.48
1279,Stoke City,2018,27.14
1280,Southampton FC,2018,21.51
1281,FC Schalke 04,2018,41.09
1282,Newcastle United,2018,39.13
1283,ACF Fiorentina,2018,41.81
1284,Genoa CFC,2018,67.86
1285,UC Sampdoria,2018,52.26
1286,Pyramids FC,2018,9.92
1287,Cardiff City,2018,0.0
1288,Huddersfield Town,2018,11.1
1289,Ajax Amsterdam,2018,15.8
1290,Atalanta BC,2018,16.11
1291,Al-Ittihad Jeddah,2018,0.0
1292,Al Duhail Sports Club,2018,0.0
1293,SS Lazio,2018,34.74
1294,Al-Nassr FC,2018,180.0
1295,Torino FC,2018,15.48
1296,Udinese Calcio,2018,10.31
1297,US Sassuolo,2018,47.88
1298,VfB Stuttgart,2018,15.53
1299,Olympique Lyon,2018,81.09
1300,Real Betis Balompié,2018,42.75
1301,Shakhtar Donetsk,2018,62.1
1302,CF Monterrey,2018,4.03
1303,CD Cruz Azul,2018,6.99
1304,VfL Wolfsburg,2018,4.32
1305,Clube de Regatas do Flamengo,2018,81.18
1306,Zenit St. Petersburg,2018,36.9
1307,Al-Ahli Jeddah,2018,0.0
1308,Cagliari Calcio,2018,7.11
1309,Bologna FC 1909,2018,41.13
1310,Burnley FC,2018,7.2
1311,Athletic Bilbao,2018,72.0
1312,Sporting CP,2018,48.57
1313,FC Porto,2018,64.8
1314,Borussia Mönchengladbach,2018,29.66
1315,TSG 1899 Hoffenheim,2018,5.51
1316,Bayer 04 Leverkusen,2018,40.5
1317,RSC Anderlecht,2018,15.8
1318,Dalian Yifang,2018,1.77
1319,Watford FC,2018,46.66
1320,1.FSV Mainz 05,2018,50.04
1321,Celta de Vigo,2018,31.32
1322,Tianjin Tianhai,2018,26.22
1323,Club Atlético Boca Juniors,2018,37.08
1324,OGC Nice,2018,55.53
1325,Nottingham Forest,2018,1.08
1326,Eintracht Frankfurt,2018,17.01
1327,Fenerbahce SK,2018,23.45
1328,Levante UD,2018,29.7
1329,SV Werder Bremen,2018,24.17
1330,SL Benfica,2018,60.15
1331,Galatasaray SK,2018,27.76
1332,FK Krasnodar,2018,10.71
1333,SPAL,2018,2.07
1334,Dynamo Kyiv,2018,6.75
1335,CF América,2018,18.63
1336,Getafe CF,2018,3.15
1337,Guangzhou R&F,2018,0.0
1338,Sociedade Esportiva Palmeiras,2018,21.06
1339,Club Brugge KV,2018,15.75
1340,Middlesbrough FC,2018,43.28
1341,PSV Eindhoven,2018,15.8
1342,Parma Calcio 1913,2018,270.0
1343,FC Girondins Bordeaux,2018,45.63
1344,RCD Espanyol Barcelona,2018,27.72
1345,Shenzhen FC,2018,0.0
1346,KRC Genk,2018,18.14
1347,Aston Villa,2018,14.45
1348,Santos Laguna,2018,23.3
1349,Hannover 96,2018,12.19
1350,FC Toulouse,2018,32.4
1351,Spartak Moscow,2018,19.13
1352,CD Leganés,2018,20.7
1353,Stade Rennais FC,2018,17.55
1354,Tigres UANL,2018,270.0
1355,Lokomotiv Moscow,2018,0.0
1356,São Paulo Futebol Clube,2018,24.62
1357,FC Empoli,2018,23.31
1358,SC Freiburg,2018,20.41
1359,Al-Wahda Mekka,2018,950.0
1360,1. FC Köln,2018,42.12
1361,Al-Hilal Riyadh,2018,3.99
1362,RC Strasbourg Alsace,2018,12.6
1363,KAA Gent,2018,37.62
1364,Stade Reims,2018,9.9
1365,FC Nantes,2018,19.8
1366,Atlanta United FC,2018,21.96
1367,Deportivo Guadalajara,2018,27.05
1368,Celtic FC,2018,27.98
1369,Beijing Sinobo Guoan,2018,3.47
1370,AS Saint-Étienne,2018,16.83
1371,Benevento Calcio,2018,8.37
1372,FC Basel 1893,2018,25.68
1373,CF Pachuca,2018,5.4
1374,Red Bull Salzburg,2018,51.75
1375,Derby County,2018,13.01
1376,West Bromwich Albion,2018,23.94
1377,CSKA Moscow,2018,37.8
1378,Shandong Luneng Taishan,2018,0.0
1379,Hertha BSC,2018,15.21
1380,Real Sociedad,2018,27.72
1381,Crystal Palace,2018,0.0
1382,Rangers FC,2018,2.78
1383,Racing Club,2018,18.13
1384,Santos FC,2018,4.92
1385,SK Slavia Prag,2018,405.0
1386,Leeds United,2018,6.03
1387,Hebei China Fortune,2018,10.36
1388,Henan Jianye,2018,1.17
1389,Tianjin Teda,2018,0.0
1390,Club Tijuana,2018,1.8
1391,Rayo Vallecano,2018,11.7
1392,Bristol City,2018,26.55
1393,Chievo Verona,2018,17.01
1394,New York City FC,2018,40.0
1395,Red Star Belgrade,2018,21.65
1396,Deportivo de La Coruña,2018,20.07
1397,Clube Atlético Mineiro,2018,12.24
1398,Girona FC,2018,2.97
1399,HSC Montpellier,2018,22.95
1400,Real Valladolid CF,2018,0.0
1401,GNK Dinamo Zagreb,2018,31.64
1402,Deportivo Alavés,2018,8.1
1403,Bayern Munich,2018,75.6
1404,Standard Liège,2018,19.44
1405,Shenzhen FC Reserves,2018,0.0
1406,SM Caen,2018,13.05
1407,Club Atlético Independiente,2018,16.74
1408,Toronto FC,2018,1.02
1409,FC Midtjylland,2018,18.77
1410,PAOK Thessaloniki,2018,10.08
1411,El Ahly Cairo,2018,1.22
1412,Jiangsu Suning,2018,15.66
1413,Olympiacos Piraeus,2018,9.63
1414,FCO Dijon,2018,3.6
1415,LOSC Lille,2018,62.64
1416,Sport Club Corinthians Paulista,2018,14.5
1417,Wuhan Zall,2018,177.0
1418,Besiktas JK,2018,17.28
1419,FC Metz,2018,12.68
1420,SD Eibar,2018,6.98
1421,Sharjah Cultural Sports Club,2018,0.0
1422,Changchun Yatai,2018,9.54
1423,FC Ingolstadt 04,2018,15.12
1424,Club Atlético River Plate,2018,23.91
1425,Frosinone Calcio,2018,270.0
1426,Swansea City,2018,44.78
1427,SD Huesca,2018,360.0
1428,FK Rostov,2018,8.46
1429,FC Copenhagen,2018,17.42
1430,Los Angeles FC,2018,900.0
1431,AZ Alkmaar,2018,27.18
1432,Fortuna Düsseldorf,2018,540.0
1433,FC Barcelona B,2018,4.95
1434,Sheffield United,2018,11.16
1435,FC Augsburg,2018,2.57
1436,Urawa Red Diamonds,2018,0.0
1437,Brentford FC,2018,31.46
1438,Seattle Sounders FC,2018,39.0
1439,SC Braga,2018,18.59
1440,Cruzeiro Esporte Clube,2018,18.76
1441,SC Amiens,2018,9.0
1442,Deportivo Toluca,2018,9.9
1443,Grêmio Foot-Ball Porto Alegrense,2018,50.09
1444,Roma Primavera,2018,0.0
1445,Shanghai Greenland Shenhua,2018,0.0
1446,Asociación Atlética Argentinos Juniors,2018,15.01
1447,Istanbul Basaksehir,2018,4.05
1448,Norwich City,2018,33.84
1449,Bröndby IF,2018,5.83
1450,Club Atlético Huracán,2018,8.55
1451,US Palermo,2018,13.95
1452,Kasimpasa,2018,9.36
1453,Reading FC,2018,5.27
1454,Rapid Vienna,2018,8.01
1455,Juventus Primavera,2018,0.0
1456,Wigan Athletic,2018,6.03
1457,AC Perugia Calcio,2018,4.5
1458,1.FC Nuremberg,2018,0.0
1459,AEK Athens,2018,2.88
1460,Zamalek SC,2018,5.29
1461,Club Universidad de Chile,2018,0.0
1462,Hapoel Beer Sheva,2018,4.92
1463,Alanyaspor,2018,3.6
1464,SCO Angers,2018,18.9
1465,Al-Shabab Riyadh,2018,1.17
1466,Juventus U23,2018,855.0
1467,Sunderland AFC,2018,23.66
1468,Club León FC,2018,5.35
1469,PFK Ludogorets Razgrad,2018,5.4
1470,Real Madrid U19,2018,0.0
1471,US Cremonese,2018,0.0
1472,FC Crotone,2018,3.69
1473,UD Las Palmas,2018,5.22
1474,Brescia Calcio,2018,450.0
1475,FC Dallas,2018,2.91
1476,Delfino Pescara 1936,2018,12.2
1477,Minnesota United FC,2018,779.0
1478,AC Sparta Praha,2018,12.74
1479,Club Atlético San Lorenzo de Almagro,2018,6.11
1480,Akhmat Grozny,2018,6.39
1481,EA Guingamp,2018,3.6
1482,Ipswich Town,2018,9.9
1483,Atlas Guadalajara,2018,7.79
1484,Konyaspor,2018,2.03
1485,Monarcas Morelia,2018,11.21
1486,FC Groningen,2018,2.25
1487,Millwall FC,2018,7.02
1488,Ferencvárosi TC,2018,0.0
1489,Vitória Guimarães SC,2018,13.28
1490,US Salernitana 1919,2018,6.3
1491,Club Atlético Vélez Sarsfield,2018,9.59
1492,Portimonense SC,2018,41.4
1493,Nîmes Olympique,2018,0.0
1494,Guizhou Hengfeng,2018,4.47
1495,Ceará Sporting Club,2018,3.13
1496,Molde FK,2018,4.5
1497,Club Necaxa,2018,13.45
1498,Rosenborg BK,2018,2.2
1499,Puebla FC,2018,0.0
